,0
_xr_ccr_sties_sty_C1.inq_ninety_days_ago,14
_xr_cfi_crosstabs_crosstab_home_address_email_address,22
CF_CFCrosstabSSNsum,16
_xr_ccr_sties_sty_ALL.aco_seven_years_ago,27
_xr_ccr_sties_sty_C3.ato_one_hundred_eighty_days_ago,15
last_seen_email_days,36
_xr_ccr_sties_sty_ALL.dlp_three_years_ago,13
_xr_caa_ea_all2002,33
_xr_ccr_sties_sty_ALL.nto_three_years_ago,29
_xr_caa_ea_bcx3421,17
_xr_caa_ea_bcc5421,52
CFI_sties_HA_ratio_30d90d,11
CI_NumDaysSinceLastSeenAccount,28
_xr_ccr_experian_attribute_iln6230,42
_xr_ccr_sties_sty_CA.inq_sixty_days_ago,19
_xr_caa_ea_brc3510,16
std_netmonthly,20
_xr_crh_iclrh_ticlrh_thirty_days_ago,11
_xr_caa_ea_bca5030,49
CRH_tirh_ratio_30d90d,23
_xr_ccr_sties_sty_C1.nto_seven_years_ago,15
_xr_cfi_rs_r_one_hour_ago_threesixtyfive_days_ago,18
CRH_tirh_ratio_7d30d,17
CI_NumDaysSinceDateOfLastAcivity,29
_xr_caa_sties_sty_CA.clu_one_hundred_eighty_days_ago,23
_xr_ccr_number_of_loans,24
_xr_caa_ea_bca0300,27
_xr_ccr_sties_sty_C3.dd_one_hundred_eighty_days_ago,12
_xr_ccr_sties_sty_C3.dd_three_years_ago,29
_xr_i_total_historical_inquiries,24
_xr_caa_ea_bcc3423,22
_xr_i_pay_frequency_BIWEEKLY,12
CI_NumDaysSincePurchased,25
_xr_ccr_sties_sty_ALL.alp_one_year_ago,18
max_netmonthly,39
_wp_pro_wp_adch_type_Multi_unit,16
_xr_caa_ea_all0400,14
_xr_ccr_sties_sty_C3.ato_ninety_days_ago,11
_xr_i_months_at_address,23
_xr_caa_ea_rev3421,14
_xr_caa_sties_sty_CA.clu_thirty_days_ago,16
CFI_sties_Inquiry_ratio_30d90d,24
_xr_caa_sties_sty_CA.clu_one_year_ago,26
_xr_ccr_sties_sty_C3.nco_seven_years_ago,11
_xr_cfi_rs_r_seven_days_ago_ninety_days_ago,30
_xr_caa_ea_aua0416,14
CF_CFCrosstabDLsum,15
CI_NumDaysSinceLastSeenGroup,13
_xr_caa_ea_all2428,17
_xr_caa_ea_all2707,34
_xr_caa_ea_brc0400,15
_xr_cfi_i_in_state_bank_i_nan,20
_xr_caa_ea_bca3510,23
_xr_ccr_sties_sty_C1.inq_one_hundred_eighty_days_ago,29
_xr_cfi_crosstabs_crosstab_home_address_drivers_license,20
_xr_caa_ea_all5047,16
_xr_caa_ea_all2000,21
_xr_caa_sties_sty_C5.inq_two_years_ago,12
bankaccount_to_income,13
_xr_caa_ea_all0336,23
_xr_crh_srh_trrhs_trrh_credit_limit,24
_xr_ccr_sties_sty_C3.ato_sixty_days_ago,13
_xr_caa_ea_stu5820,25
_wp_pro_wp_adch_type_Single_unit,21
_xr_cfi_points_total_thirty_days_ago,16
first_seen_email_days,24
_xr_caa_ea_rev5040,12
_xr_cfi_crosstabs_crosstab_home_address_home_phone,18
_xr_ccr_sties_sty_C3.dd_one_year_ago,19
CFI_sties_BA_ratio_90d365d,16
_xr_ccr_experian_attribute_tbca2624,25
_xr_ccr_sties_sty_ALL.ato_sixty_days_ago,12
